,title,description,descriptionPos,descriptionNeg,publishedAt,viewCount,likeCount,dislikeCount,commentsPos,commentsNeg
31,Dramatic moment 11-year-old girl fights off kidnapper - BBC News,Dramatic moment 11-year-old girl fights off kidnapper - BBC News This 11-year-old girl had to fight off a knife-wielding kidnapper while waiting for her school ...,0,1,2021-05-20T21:56:00Z,167699,1399,172,189,221
32,Israel agrees ceasefire with Hamas in Gaza after hundreds of deaths - BBC News,"Israel has accepted a ceasefire with armed Palestinian militants in Gaza without pre-conditions. It's hoped that the agreement, brokered by Egypt, will end the ...",0,0,2021-05-20T21:42:45Z,84851,1168,48,153,156
33,Young Americans begin vaccination programme as Pfizer-BionTech jab approved - BBC News,"Americans aged 12 to 15 have begun getting vaccinated against Covid, after the CDC approved the use of the Pfizer-BionTech jab for their age group.",0,0,2021-05-20T19:35:06Z,72674,1304,243,230,308
34,The school bombing that shook Kabul - BBC News,"Students were streaming out of the Sayed ul-Shuhada secondary school in Kabul on Saturday 8 May, when explosions shook the neighbourhood. At least 85 ...",0,0,2021-05-20T17:00:35Z,1232516,13841,1658,1356,1881
35,The Venezuelans fleeing to Colombia to avoid fighting - BBC News,Thousands of Venezuelans have fled their country in the past month. They are running away from intense armed clashes which involve Venezuela's army and ...,0,2,2021-05-20T15:00:34Z,1498898,14825,2634,0,0
36,Queen&#39;s Gambit sparks world of online chess celebrities - BBC News,"A group of young, charismatic chess players have built huge audiences by streaming their games, with interest in chess spurred on by the success of Netflix ...",2,0,2021-05-20T13:00:14Z,213128,2532,263,252,353
37,Covid disrupts Iceland&#39;s Eurovision live show performance - BBC News,"Iceland's entrant for the Eurovision song contest, Daði og Gagnamagnið, will not perform live in this year's shows after a band member tested positive for ...",1,0,2021-05-20T09:30:12Z,1139815,10303,1148,1364,1712
38,China: Teens try to break into livestream market - BBC News,China's recovery from the first wave of the coronavirus outbreak has been quick and sustained. Consumer confidence has returned and a key area of the vast ...,2,1,2021-05-20T00:13:14Z,121432,1058,1660,356,553
39,World’s largest vaccine producer will not resume export of jabs – BBC Newsnight,"Despite exporting vaccines to more than 50 countries, India is in the middle of its own medical emergency. While the country deals with its Covid crisis, they've ...",0,2,2021-05-19T22:39:06Z,321564,3404,586,559,732
40,Biden tells Israel: De-escalate Gaza conflict - BBC News,The US has increased pressure on Israel to end its bombardment of Palestinian militants in Gaza. Joe Biden has told Benjamin Netanyahu that he expects a ...,0,1,2021-05-19T22:19:14Z,1067649,13631,1468,1304,1658
41,Donald Trump says criminal investigation into family business is “abuse” and “corruption” - BBC News,"The former US President Donald Trump says he is being ""unfairly attacked and abused"" after New York's attorney-general launched a criminal investigation into ...",1,3,2021-05-19T22:10:58Z,122890,1665,155,164,103
42,"French police accused of violence, brutality and racism  - BBC News",The killing of George Floyd in the United States a year ago placed a sharp focus on police racism - not just in America but on law enforcement officers around the ...,1,2,2021-05-19T21:56:40Z,279845,2808,1470,0,0
43,EU diplomats back entry for non-essential travel - BBC News,EU ambassadors have recommend reopening borders to people from countries with low Covid rates – with a list to be agreed this week. Diplomats said visitors ...,1,0,2021-05-19T15:02:00Z,49969,1013,46,114,89
44,Is the UK’s Covid travel system misleading? - BBC Newsnight,The confusion arose after Environment Secretary George Eustice said people could go to those countries if they quarantined when they returned. It comes after ...,0,1,2021-05-19T14:05:48Z,55320,952,77,164,192
45,New York prosecutor says Trump inquiry now criminal - BBC News,"The New York attorney general's office has said it is investigating the Trump Organization ""in a criminal capacity"". A spokesman for the state's top prosecutor, ...",2,1,2021-05-19T13:15:03Z,76166,1080,75,105,160
46,Israel-Gaza: Hamas chiefs targeted as truce efforts stall - BBC News,Israel said it has targeted the homes of Hamas commanders as deadly fighting with Palestinian militants in the Gaza Strip enters a 10th day. Israel said it had ...,0,1,2021-05-19T12:19:07Z,37663,651,63,120,100
47,Violent clashes in West Bank as Palestinians protest over Israeli air strikes in Gaza - BBC News,"The deadly conflict between Israeli forces and Palestinian militants led by Hamas has entered its second week, with little sign of a political breakthrough. The US ...",2,2,2021-05-18T21:31:32Z,251200,4107,721,0,0
48,Migrants reach Spain&#39;s Ceuta enclave in record numbers – BBC News,"At least 6000 migrants have reached Spain's Ceuta enclave from neighbouring Morocco, a record number over a single day, Spanish officials say. They say the ...",0,0,2021-05-18T18:00:09Z,83106,943,68,188,271
49,Fighting between Israel and Palestinian militants continues – BBC News,"The fighting between Israel and Palestinian militants has been continuing on Tuesday. The Israeli military carried out further airstrikes, destroying two buildings ...",0,0,2021-05-18T15:59:12Z,3333997,32768,5224,1124,1547
